,Age,Gender,Income,Vintage,Transaction_Status,Product_Holdings,Credit_Card,Credit_Category,Is_Churn,Balance
0,36,0,1,4,0,0,0,0,1,-0.042969109641429595
1,53,0,2,2,1,0,1,2,0,0.4169743525475053
2,35,0,3,2,1,1,0,2,0,0.18541901695732563
3,43,0,3,0,1,1,1,2,1,0.9060464499640688
4,39,0,3,1,1,0,1,1,1,0.4378000612833689
5,31,0,2,4,1,0,0,1,0,-1.6571270177763406
6,56,1,2,2,1,1,1,0,0,0.6295272772297776
7,41,0,0,4,0,0,1,2,1,1.0433633276654417
8,60,0,0,0,0,0,1,2,1,0.9591277756432387
9,32,0,1,3,0,0,1,2,0,0.2836042862523905
10,40,0,3,1,0,0,1,0,1,1.0402986755797068
11,33,0,0,3,1,1,1,2,0,0.7733519279333363
12,37,1,0,1,1,0,0,0,0,0.5249582459467087
13,32,1,3,3,1,0,1,1,0,-1.1453435944755743
14,33,1,0,4,0,0,1,2,0,1.068786305159473
15,47,0,1,3,1,2,1,2,1,-0.04896601425028005
16,28,1,1,3,1,1,0,2,0,-1.5325561777177306
17,35,1,1,2,1,1,1,0,1,-1.740918698411956
18,30,0,2,3,1,0,1,1,0,0.0971842656404338
19,45,0,0,2,1,0,1,2,0,-2.7195822370154654
20,66,0,0,4,1,1,0,2,0,0.25623316770986804
21,41,1,0,4,1,1,1,2,1,0.6295120074281503
22,41,0,2,3,0,0,1,2,0,0.6816882961912464
23,28,1,2,2,0,0,1,2,0,-0.02887856656068793
24,40,1,2,0,1,0,1,2,0,0.07090791855325113
25,62,1,1,1,0,1,1,0,0,0.09271610310158598
26,36,1,1,1,1,1,1,0,0,-1.0193930573276777
27,34,1,3,1,1,0,1,2,1,1.1601087659037703
28,42,0,2,4,1,1,0,2,0,0.7619932583836962
29,38,0,1,2,1,1,1,0,0,-1.100332739756501
30,47,0,1,2,0,1,0,1,0,-0.33504821373354676
31,47,0,1,3,0,1,1,2,1,-0.06505156435547736
32,32,1,1,4,0,1,1,2,0,0.0777499387146611
33,52,0,1,4,1,0,1,0,0,1.0555939252257793
34,54,0,2,0,0,1,1,0,1,0.4496738231567228
35,34,1,0,3,1,1,0,2,1,0.02283047497128646
36,27,0,1,2,0,0,1,0,0,-0.2724338254424871
37,35,0,0,5,0,1,1,0,0,0.3786426555231224
38,41,0,2,0,1,1,1,1,0,-3.0724139629260367
39,40,1,2,3,1,0,1,1,0,-0.014120244488068145
40,68,0,2,3,0,1,0,0,1,0.08148542042364093
41,35,1,0,2,0,0,1,0,0,0.5508286076882776
42,30,0,2,4,0,0,1,2,0,0.5531082931332303
43,32,0,2,3,1,0,1,0,0,-0.7180324205151272
44,38,1,0,3,0,0,1,1,0,0.771845470979762
45,37,1,2,1,1,1,1,2,1,1.0686768402834017
46,58,0,1,2,0,1,1,0,1,0.7510035372759059
47,59,0,2,3,0,1,1,1,1,0.404212722430034
48,31,0,3,3,0,0,1,1,0,-2.098862380630989
49,40,1,1,3,1,0,1,2,0,0.40739427967594094
50,43,0,3,1,1,0,1,0,0,0.6774109795537834
51,56,0,2,1,1,1,1,2,0,0.63095434862905
52,47,1,2,2,1,0,1,0,0,-0.28849755654323
53,45,1,1,0,1,1,1,2,1,1.0526177319771635
54,38,1,1,2,1,1,1,0,1,0.9098151799540325
55,25,0,3,2,0,1,1,2,0,1.2959727150875888
56,45,1,0,3,1,0,1,1,0,0.7100338765987753
57,31,0,3,1,0,1,1,0,0,-0.5624171175668304
58,47,0,1,1,1,1,1,2,1,1.3612305086737775
59,28,1,0,4,0,0,1,2,1,1.0090313269982722
60,26,0,1,3,0,0,0,1,0,0.45505941308556647
61,40,0,0,2,1,1,1,2,0,-0.9654932679065735
62,40,0,2,5,1,1,0,1,0,0.6581500796809322
63,47,1,0,1,1,0,1,0,0,0.323567857855602
64,48,1,0,5,1,0,1,0,0,0.5867969409498419
65,37,1,0,0,0,0,0,1,0,0.15404479082608127
66,40,0,1,1,1,0,1,0,0,0.8923033717055788
67,48,1,3,3,1,1,0,1,0,0.711384462376342
68,29,1,2,0,0,0,1,1,0,0.8138559369530605
69,44,1,0,0,1,0,0,0,0,-0.5006023851484376
70,34,1,2,1,1,0,1,2,0,-3.128377030069707
71,33,0,0,4,0,1,1,1,0,0.4716635227091579
72,58,1,2,1,0,0,0,2,1,1.0921961212498719
73,59,0,3,4,1,0,1,2,0,0.6812183127597019
74,39,0,3,3,1,0,0,0,0,1.0546489048128365
75,33,1,0,2,1,0,0,0,0,0.7429446480399257
76,37,1,2,2,1,1,1,1,0,-0.2694970348681056
77,45,1,3,4,1,1,1,1,0,0.6079976334538891
78,67,0,2,2,1,2,1,1,0,-0.9644728898778205
79,48,0,0,0,1,2,0,1,1,-0.663406031197414
80,40,0,1,2,1,1,1,2,0,-3.0357603126766484
81,29,1,0,4,1,1,0,1,0,-2.286291955156262
82,37,0,1,1,0,1,1,0,0,-2.9913823377716637
83,42,1,2,3,0,0,0,0,0,-2.861828775070688
84,49,0,2,3,0,0,1,0,1,1.4509461673173427
85,37,0,3,4,1,0,1,1,0,-1.311310677901538
86,31,0,3,2,1,1,1,2,0,-0.1882592110445933
87,56,1,3,1,1,0,1,2,0,0.37795354153493665
88,42,0,3,2,1,0,1,2,0,1.2341725076484247
89,33,1,0,3,1,1,1,0,0,-0.16024971587718007
90,31,1,0,5,1,1,1,2,1,1.1798092209360607
91,54,0,0,4,0,0,0,0,1,0.5695496207860651
92,63,1,3,3,0,1,1,2,0,0.4884806201519162
93,49,1,3,0,1,0,1,1,1,0.4844866924364964
94,34,0,2,2,0,1,1,1,0,-1.9573156569497954
95,38,0,0,1,0,2,0,2,0,-1.8637734007972568
96,40,0,1,4,1,0,1,2,1,0.3715214078933141
97,55,1,1,1,1,0,0,2,1,0.3718429924760174
98,31,1,3,4,1,0,0,2,0,-0.3141532344483457
99,42,1,0,3,1,1,0,0,0,0.171725922182506
100,41,1,2,1,0,0,1,2,0,0.6732718568738542
101,30,1,2,3,0,1,1,1,0,0.2214053503871978
102,37,1,3,4,0,1,0,0,1,-2.5982253392172505
103,26,0,0,3,1,0,1,2,0,1.2968161489952852
104,38,0,3,4,0,0,1,0,0,0.7005869856672021
105,40,0,0,1,0,1,1,2,0,-1.3741204946248111
106,39,1,0,4,0,1,1,2,0,-0.0008834919582024547
107,34,1,0,1,1,0,1,2,0,0.7116900908960035
108,40,1,3,0,1,0,1,1,0,-0.8111120630892447
109,37,0,2,1,1,0,1,2,0,-1.7635718479619191
110,55,0,0,4,0,1,1,2,0,-0.0848150974366931
111,27,1,1,3,0,1,0,2,0,0.22099022126538673
112,31,0,2,1,1,0,0,2,1,-0.6886279994516369
113,28,0,3,3,0,1,0,2,1,-2.7599205761168317
114,46,0,0,2,1,1,0,2,0,0.5866693303365254
115,55,1,0,0,0,1,1,0,0,0.34175440807516405
116,62,0,3,1,0,1,1,0,0,0.46355020284508447
117,34,1,0,1,1,0,0,0,0,0.5018301565798812
118,58,0,1,2,0,1,0,1,1,-2.672902019269449
119,56,1,1,4,1,1,1,2,0,0.7053170111092282
120,26,1,1,3,0,1,1,0,0,-0.2857849617622319
121,31,0,0,2,0,1,0,1,0,0.8220843603764895
122,59,0,2,1,0,1,1,0,1,-0.8641050386545956
123,52,1,0,4,0,0,1,2,1,1.0405494986502377
124,55,1,3,1,1,0,0,2,1,0.9321071590373124
125,41,1,0,4,1,1,1,2,1,-1.4410398973801146
126,27,1,0,1,1,1,1,2,0,0.5759638243900891
127,34,1,3,3,1,1,0,2,0,-0.7484918504554553
128,43,1,3,3,0,1,1,1,1,-0.9980781145517142
129,45,1,2,3,1,1,1,1,0,-1.8201238059173914
130,44,1,0,4,1,0,1,0,0,1.1292265670911694
131,37,0,3,1,0,1,1,0,0,-3.3735931297693456
132,59,1,1,2,0,0,0,2,0,0.6904668699700469
133,25,1,0,3,1,1,0,2,0,0.6044168341336379
134,27,1,1,4,0,0,0,1,0,1.2127908399336311
135,46,0,0,3,0,0,0,2,1,-0.04141913264978702
